#TYPE Selected.System.Management.Automation.PSCustomObject
"DisplayName","DisplayVersion"
"NI-RIO FPGA Interface Driver Support 18.0","18.00.49152"
"NI System Configuration Runtime 18.0.0","18.00.49152"
"NI LabVIEW 2015 Real-Time Target Clock","15.0.49152"
"NI LabVIEW 2018 (32-bit)","18.00.49152"
"NI LabVIEW 2018 FPGA Elemental IO Common","18.00.49152"
"Microsoft Visual C++ 2015 Redistributable (x86) - 14.0.24215","14.0.24215.1"
"NI LabWindows/CVI 2017 Low-Level Driver (Original)","17.00.49154"
"NI-VISA GPIB Passport 18.0.0","18.00.49152"
"NI Remote Config LabVIEW 2018 Real-Time","18.00.49152"
"Realtek PC Camera Driver","10.0.14393.11242"
"NI-PXIPF Error 17.0.0","17.00.49152"
"NI LabVIEW DSC Module Runtime 2018 f2","18.02.49154"
"NI EPICS Client I/O Server","18.00.49152"
"NI System API Web-Service 32-bit 18.0.0","18.00.49152"
"NI mDNS Responder 17.0.0","17.00.49152"
"NI Atomic PXIe Peripheral Module Driver 17.3.0","17.30.49152"
"NI Web Application Server 2018","18.00.49153"
"NI LabVIEW 2018 Integer Math and Analysis","18.00.49152"
"NI SMTP Client 2018 Real-Time Support","18.00.49152"
"NI Video Driver RT 17.5.0","17.50.49152"
"NI LabVIEW 2018 Modbus API for Simplified Chinese","18.00.49152"
"NI-RIO I/O Control for LabVIEW 2015","15.50.49152"
"NI LabVIEW 2018 FPGA Project Templates cRIO","18.00.49152"
"NI LabVIEW 2015 Real-Time USB Support","15.0.49152"
"NI LabVIEW 2018 Real-Time Support for Desktop","18.00.49153"
"NI Trace Engine","18.00.49152"
"NordVPN","6.20.12"
"NI LabVIEW 2018 Real-Time License","18.00.49152"
"NI-RoCo 18.0 (32-bit)","18.00.49152"
"Realtek High Definition Audio Driver","6.0.1.8555"
"NI EPICS Base Real-Time Support","18.0.49152"
"NI GMP Real-Time Installer 18.0.0","18.00.49152"
"NI LabVIEW 2015 Real-Time Locales","15.0.49152"
"NI Real-Time Trace Viewer 2018 Common Files","18.00.49153"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501","12.0.30501.0"
"NI LabVIEW 2018 Manuals","18.00.49152"
"NI LabVIEW Runtime Interop 2016","16.50.49152"
"NI FRC FPGA Target Support for LabVIEW 2018 (32-bit)","18.00.49152"
"NI Certificate Storage Component 2016","16.0.49152"
"NI Assistant Framework","18.00.49152"
"NI AFW Custom UI Assemblies","18.00.49152"
"NI-MXDF 17.5.0f0 for LabVIEW RT","17.50.49152"
"NI-PAL 18.0 Error Files for LabVIEW RT","18.00.49152"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005"
"NI-SMC9 Ethernet Driver for Pharlap ETS","1.2.49152"
"NI LabVIEW 2018 FPGA Support for Host Communication","18.00.49152"
"NI LabVIEW 2018 Report Generation Toolkit for Microsoft Office","18.00.49152"
"Python Launcher","3.7.6565.0"
"NI Vision Recommended Software Sets 18.0","18.00.49152"
"NI LabVIEW Runtime 2015 SP1 f10","15.50.49152"
"NI LabVIEW Runtime 2018 Non-English Support.","18.00.49152"
"NI IO Server Provider LabVIEW 2018 Support","18.00.49152"
"NI Logos 18.0","18.00.49152"
"NI Security Update (KB 67L8LCQW)","2.00.49152"
"NI-QPXI 17.3.0","17.30.49152"
"NI FIRST Robotics Competition Gamepad Tool","18.0.152"
"NI Vision Acquisition Express VI","18.00.49152"
"NI LabWindows/CVI 2017 Network Variable Library","17.00.49155"
"NI LabVIEW 2018 Real-Time Pharlap Base","18.00.49152"
